Country or territory of asylum or residence,Country or territory of origin,Year,Refugees,Refugees assisted by UNHCR,Total refugees and people in refugee-like situations,Total refugees and people in refugee-like situations assisted by UNHCR
Dem. Rep. of the Congo,Cameroon,2016,1,1,1,1
Dem. Rep. of the Congo,Central African Rep.,2016,102489,102489,102489,102489
Dem. Rep. of the Congo,Chad,2016,3,3,3,3
Dem. Rep. of the Congo,Congo,2016,676,676,676,676
Dem. Rep. of the Congo,Côte d'Ivoire,2016,7,7,7,7
Dem. Rep. of the Congo,Eritrea,2016,3,3,3,3
Dem. Rep. of the Congo,Jordan,2016,1,1,1,1
Dem. Rep. of the Congo,Liberia,2016,6,6,6,6
Dem. Rep. of the Congo,Rwanda,2016,245052,137000,245052,137000
Dem. Rep. of the Congo,Sierra Leone,2016,1,1,1,1
Dem. Rep. of the Congo,Somalia,2016,34,34,34,34
Dem. Rep. of the Congo,South Sudan,2016,66672,66672,66672,66672
Dem. Rep. of the Congo,Sudan,2016,150,150,150,150
Dem. Rep. of the Congo,Syrian Arab Rep.,2016,11,11,11,11
Dem. Rep. of the Congo,Uganda,2016,24,24,24,24
Denmark,Afghanistan,2016,2364,,2364,
Denmark,Albania,2016,6,,6,
Denmark,Algeria,2016,4,,4,
Denmark,Angola,2016,2,,2,
Denmark,Armenia,2016,69,,69,
Denmark,Azerbaijan,2016,54,,54,
Denmark,Bangladesh,2016,16,,16,
Denmark,Belarus,2016,6,,6,
Denmark,Benin,2016,1,,1,
Denmark,Bhutan,2016,4,,4,
Denmark,Bosnia and Herzegovina,2016,7,,7,
Denmark,Burkina Faso,2016,2,,2,
Denmark,Burundi,2016,6,,6,
Denmark,Cambodia,2016,1,,1,
Denmark,Cameroon,2016,5,,5,
Denmark,Chad,2016,1,,1,
Denmark,China,2016,20,,20,
Denmark,Congo,2016,4,,4,
Denmark,Côte d'Ivoire,2016,12,,12,
Denmark,Dem. People's Rep. of Korea,2016,10,,10,
Denmark,Dem. Rep. of the Congo,2016,79,,79,
Denmark,Djibouti,2016,1,,1,
Denmark,Egypt,2016,8,,8,
Denmark,El Salvador,2016,4,,4,
Denmark,Eritrea,2016,3745,,3745,
Denmark,Ethiopia,2016,80,,80,
Denmark,Gambia,2016,1,,1,
Denmark,Georgia,2016,4,,4,
Denmark,Ghana,2016,3,,3,
Denmark,Guatemala,2016,2,,2,
Denmark,Guinea,2016,2,,2,
Denmark,Guinea-Bissau,2016,3,,3,
Denmark,India,2016,5,,5,
Denmark,Iraq,2016,945,,945,
Denmark,Islamic Rep. of Iran,2016,2425,,2425,
Denmark,Jordan,2016,4,,4,
Denmark,Kazakhstan,2016,3,,3,
Denmark,Kenya,2016,6,,6,
Denmark,Kuwait,2016,1,,1,
Denmark,Kyrgyzstan,2016,5,,5,
Denmark,Lebanon,2016,25,,25,
Denmark,Libya,2016,12,,12,
Denmark,Mali,2016,1,,1,
Denmark,Mauritania,2016,1,,1,
Denmark,Morocco,2016,8,,8,
Denmark,Myanmar,2016,48,,48,
Denmark,Nepal,2016,7,,7,
Denmark,Nigeria,2016,13,,13,
Denmark,Pakistan,2016,57,,57,
Denmark,Peru,2016,1,,1,
Denmark,Rep. of Korea,2016,1,,1,
Denmark,Russian Federation,2016,1045,,1045,
Denmark,Rwanda,2016,17,,17,
Denmark,Saudi Arabia,2016,1,,1,
Denmark,Serbia,2016,4,,4,
Denmark,Sierra Leone,2016,1,,1,
Denmark,Somalia,2016,1280,,1280,
Denmark,Sri Lanka,2016,74,,74,
Denmark,State of Palestine,2016,39,,39,
Denmark,Stateless,2016,2496,,2496,
Denmark,Sudan,2016,73,,73,
Denmark,Syrian Arab Rep.,2016,18215,,18215,
Denmark,Tajikistan,2016,5,,5,
Denmark,Thailand,2016,3,,3,
Denmark,Tunisia,2016,3,,3,
Denmark,Turkey,2016,6,,6,
Denmark,Uganda,2016,69,,69,
Denmark,Ukraine,2016,25,,25,
Denmark,United Rep. of Tanzania,2016,2,,2,
Denmark,Uzbekistan,2016,11,,11,
Denmark,Various,2016,30,,30,
Denmark,Yemen,2016,4,,4,
Denmark,Zambia,2016,2,,2,
Denmark,Zimbabwe,2016,8,,8,
Djibouti,Eritrea,2016,322,322,322,322
Djibouti,Ethiopia,2016,516,516,516,516
Djibouti,Iraq,2016,14,14,14,14
Djibouti,Kenya,2016,10,10,10,10
Djibouti,Pakistan,2016,2,2,2,2
Djibouti,Philippines,2016,3,3,3,3
Djibouti,Somalia,2016,13021,13021,13021,13021
Djibouti,Sudan,2016,5,5,5,5
Djibouti,Syrian Arab Rep.,2016,13,13,13,13
Djibouti,Yemen,2016,3777,3777,3777,3777
Dominican Rep.,Afghanistan,2016,4,4,4,4
Dominican Rep.,Colombia,2016,1,1,1,1
Dominican Rep.,Ecuador,2016,5,5,5,5
Dominican Rep.,Haiti,2016,573,573,573,573
Dominican Rep.,Iraq,2016,3,3,3,3
Dominican Rep.,Islamic Rep. of Iran,2016,1,1,1,1
Dominican Rep.,Nigeria,2016,1,1,1,1
Dominican Rep.,Syrian Arab Rep.,2016,1,1,1,1
Dominican Rep.,Ukraine,2016,3,3,3,3
Ecuador,Colombia,2016,59531,3802,101161,18950
Ecuador,Various,2016,993,,1687,
Egypt,Afghanistan,2016,14,14,14,14
Egypt,Algeria,2016,1,1,1,1
Egypt,Benin,2016,1,1,1,1
Egypt,Burundi,2016,22,22,22,22
Egypt,Cameroon,2016,5,5,5,5
Egypt,Central African Rep.,2016,5,5,5,5
Egypt,Chad,2016,42,42,42,42
Egypt,Congo,2016,2,2,2,2
Egypt,Côte d'Ivoire,2016,139,139,139,139
Egypt,Dem. Rep. of the Congo,2016,38,38,38,38
Egypt,Djibouti,2016,6,6,6,6
Egypt,Eritrea,2016,1531,1531,1531,1531
Egypt,Ethiopia,2016,1392,1392,1392,1392
Egypt,Guinea,2016,6,6,6,6
Egypt,Iraq,2016,4362,4362,4362,4362
Egypt,Islamic Rep. of Iran,2016,4,4,4,4
Egypt,Kenya,2016,6,6,6,6
Egypt,Kuwait,2016,1,1,1,1
Egypt,Mali,2016,8,8,8,8
Egypt,Morocco,2016,1,1,1,1
Egypt,Myanmar,2016,2,2,2,2
Egypt,Nigeria,2016,9,9,9,9
Egypt,Philippines,2016,1,1,1,1
Egypt,Russian Federation,2016,16,16,16,16
Egypt,Rwanda,2016,2,2,2,2
Egypt,Saudi Arabia,2016,1,1,1,1
Egypt,Serbia,2016,1,1,1,1
Egypt,Sierra Leone,2016,2,2,2,2
Egypt,Somalia,2016,3384,3384,3384,3384
Egypt,South Sudan,2016,2532,2532,2532,2532
Egypt,State of Palestine,2016,70027,27,70027,27
Egypt,Stateless,2016,3,3,3,3
Egypt,Sudan,2016,13848,13848,13848,13848
Egypt,Syrian Arab Rep.,2016,116013,116013,116013,116013
Egypt,Tajikistan,2016,11,11,11,11
Egypt,Tunisia,2016,1,1,1,1
Egypt,Turkmenistan,2016,4,4,4,4
Egypt,Uganda,2016,8,8,8,8
Egypt,United Rep. of Tanzania,2016,1,1,1,1
Egypt,Uzbekistan,2016,2,2,2,2
Egypt,Yemen,2016,66,66,66,66
Egypt,Zimbabwe,2016,10,10,10,10
El Salvador,Algeria,2016,1,1,1,1
El Salvador,China,2016,2,2,2,2
El Salvador,Colombia,2016,5,5,5,5
El Salvador,Guatemala,2016,1,1,1,1
El Salvador,Honduras,2016,13,13,13,13
El Salvador,Iraq,2016,5,5,5,5
El Salvador,Islamic Rep. of Iran,2016,1,1,1,1
El Salvador,Mexico,2016,3,3,3,3
El Salvador,Nicaragua,2016,8,8,8,8
El Salvador,Peru,2016,1,1,1,1
El Salvador,Syrian Arab Rep.,2016,5,5,5,5
Eritrea,Ethiopia,2016,23,23,23,23
Eritrea,Somalia,2016,2244,2244,2244,2244
Eritrea,South Sudan,2016,8,8,8,8
Eritrea,Sudan,2016,67,67,67,67
Estonia,Afghanistan,2016,23,,23,
Estonia,Algeria,2016,2,,2,
Estonia,Armenia,2016,2,,2,
Estonia,Bangladesh,2016,3,,3,
Estonia,Belarus,2016,7,,7,
Estonia,Benin,2016,1,,1,
Estonia,Côte d'Ivoire,2016,2,,2,
Estonia,Eritrea,2016,1,,1,
Estonia,Gambia,2016,1,,1,
Estonia,Georgia,2016,6,,6,
Estonia,Iraq,2016,28,,28,
Estonia,Nigeria,2016,1,,1,
Estonia,Pakistan,2016,4,,4,
Estonia,Russian Federation,2016,25,,25,
Estonia,Serbia,2016,4,,4,
Estonia,Somalia,2016,4,,4,
Estonia,Sri Lanka,2016,12,,12,
Estonia,State of Palestine,2016,5,,5,
Estonia,Stateless,2016,1,,1,
Estonia,Sudan,2016,25,,25,
Estonia,Syrian Arab Rep.,2016,76,,76,
Estonia,Tajikistan,2016,1,,1,
Estonia,Turkey,2016,2,,2,
Estonia,Turkmenistan,2016,2,,2,
Estonia,Uganda,2016,1,,1,
Estonia,Ukraine,2016,80,,80,
Estonia,Yemen,2016,3,,3,
Ethiopia,Afghanistan,2016,1,1,1,1
Ethiopia,Burundi,2016,57,57,57,57
Ethiopia,Chad,2016,1,1,1,1
Ethiopia,Côte d'Ivoire,2016,4,4,4,4
Ethiopia,Cuba,2016,3,3,3,3
Ethiopia,Dem. Rep. of the Congo,2016,444,444,444,444
Ethiopia,Djibouti,2016,81,81,81,81
Ethiopia,Egypt,2016,3,3,3,3
Ethiopia,Eritrea,2016,165548,165548,165548,165548
Ethiopia,Iraq,2016,10,10,10,10
Ethiopia,Kenya,2016,3326,3326,3326,3326
Ethiopia,Nigeria,2016,1,1,1,1
Ethiopia,Rwanda,2016,11,11,11,11
Ethiopia,Somalia,2016,242014,242014,242014,242014
Ethiopia,South Sudan,2016,338774,338774,338774,338774
Ethiopia,Sudan,2016,39896,39896,39896,39896
Ethiopia,Syrian Arab Rep.,2016,9,9,9,9
Ethiopia,Uganda,2016,23,23,23,23
Ethiopia,United Rep. of Tanzania,2016,2,2,2,2
Ethiopia,Yemen,2016,1423,1423,1423,1423
Fiji,Afghanistan,2016,7,7,7,7
Fiji,Eritrea,2016,1,1,1,1
Fiji,Ghana,2016,1,1,1,1
Fiji,Nigeria,2016,1,1,1,1
Fiji,Pakistan,2016,2,2,2,2
Finland,Afghanistan,2016,2216,,2216,
Finland,Albania,2016,4,,4,
Finland,Algeria,2016,18,,18,
Finland,Angola,2016,150,,150,
Finland,Armenia,2016,2,,2,
Finland,Azerbaijan,2016,44,,44,
Finland,Bangladesh,2016,19,,19,
Finland,Belarus,2016,16,,16,
Finland,Benin,2016,1,,1,
Finland,Bolivia (Plurinational State of),2016,2,,2,
Finland,Bosnia and Herzegovina,2016,8,,8,
Finland,Brazil,2016,4,,4,
Finland,Burkina Faso,2016,3,,3,
Finland,Burundi,2016,4,,4,
Finland,Cambodia,2016,4,,4,
Finland,Cameroon,2016,95,,95,
Finland,Central African Rep.,2016,3,,3,
Finland,Chad,2016,1,,1,
Finland,China,2016,96,,96,
Finland,Colombia,2016,1,,1,
Finland,Congo,2016,8,,8,
Finland,Côte d'Ivoire,2016,13,,13,
Finland,Croatia,2016,10,,10,
Finland,Cuba,2016,6,,6,
Finland,Dem. People's Rep. of Korea,2016,2,,2,
Finland,Dem. Rep. of the Congo,2016,178,,178,
Finland,Djibouti,2016,1,,1,
Finland,Dominican Rep.,2016,3,,3,
Finland,Ecuador,2016,3,,3,
Finland,Egypt,2016,13,,13,
Finland,El Salvador,2016,10,,10,
Finland,Eritrea,2016,343,,343,
Finland,Ethiopia,2016,143,,143,
Finland,Gambia,2016,36,,36,
Finland,Georgia,2016,4,,4,
Finland,Ghana,2016,55,,55,
Finland,Guatemala,2016,4,,4,
Finland,Guinea,2016,25,,25,
Finland,Guinea-Bissau,2016,1,,1,
Finland,Honduras,2016,10,,10,
Finland,India,2016,11,,11,
Finland,Indonesia,2016,2,,2,
Finland,Iraq,2016,6781,,6781,
Finland,Islamic Rep. of Iran,2016,802,,802,
Finland,Israel,2016,1,,1,
Finland,Jordan,2016,5,,5,
Finland,Kazakhstan,2016,13,,13,
Finland,Kenya,2016,13,,13,
Finland,Kyrgyzstan,2016,20,,20,
Finland,Lebanon,2016,19,,19,
Finland,Liberia,2016,4,,4,
Finland,Libya,2016,27,,27,
Finland,Malawi,2016,4,,4,
Finland,Mali,2016,6,,6,
Finland,Mauritania,2016,4,,4,
Finland,Mongolia,2016,2,,2,
Finland,Morocco,2016,36,,36,
Finland,Myanmar,2016,30,,30,
Finland,Nepal,2016,3,,3,
Finland,Niger,2016,2,,2,
Finland,Nigeria,2016,166,,166,
Finland,Pakistan,2016,58,,58,
Finland,Papua New Guinea,2016,1,,1,
Finland,Philippines,2016,1,,1,
Finland,Rep. of Moldova,2016,6,,6,
Finland,Russian Federation,2016,779,,779,
Finland,Rwanda,2016,25,,25,
Finland,Saudi Arabia,2016,1,,1,
Finland,Senegal,2016,3,,3,
Finland,Serbia,2016,136,,136,
Finland,Sierra Leone,2016,6,,6,
Finland,Somalia,2016,3304,,3304,
Finland,South Sudan,2016,4,,4,
Finland,Sri Lanka,2016,113,,113,
Finland,Stateless,2016,289,,289,
Finland,Sudan,2016,29,,29,
Finland,Syrian Arab Rep.,2016,1677,,1677,
Finland,Tajikistan,2016,8,,8,
Finland,Thailand,2016,1,,1,
Finland,The former Yugoslav Rep. of Macedonia,2016,3,,3,
Finland,Togo,2016,5,,5,
Finland,Tunisia,2016,3,,3,
Finland,Turkey,2016,131,,131,
Finland,Turkmenistan,2016,2,,2,
Finland,Uganda,2016,24,,24,
Finland,Ukraine,2016,10,,10,
Finland,United Rep. of Tanzania,2016,4,,4,
Finland,United States,2016,2,,2,
Finland,Uzbekistan,2016,10,,10,
Finland,Various,2016,152,,152,
Finland,Venezuela (Bolivarian Republic of),2016,4,,4,
Finland,Viet Nam,2016,5,,5,
Finland,Yemen,2016,94,,94,
Finland,Zimbabwe,2016,1,,1,
France,Afghanistan,2016,7685,,7685,
France,Albania,2016,3568,,3568,
France,Algeria,2016,1534,,1534,
France,Angola,2016,3408,,3408,
France,Antigua and Barbuda,2016,1,,1,
France,Argentina,2016,4,,4,
France,Armenia,2016,4117,,4117,
France,Austria,2016,1,,1,
France,Azerbaijan,2016,2926,,2926,
France,Bahrain,2016,4,,4,
France,Bangladesh,2016,4611,,4611,
France,Belarus,2016,524,,524,
France,Benin,2016,27,,27,
France,Bhutan,2016,111,,111,
France,Bolivia (Plurinational State of),2016,36,,36,
France,Bosnia and Herzegovina,2016,4065,,4065,
France,Brazil,2016,12,,12,
France,Bulgaria,2016,73,,73,
France,Burkina Faso,2016,138,,138,
France,Burundi,2016,509,,509,
France,Cabo Verde,2016,1,,1,
France,Cambodia,2016,11566,,11566,
France,Cameroon,2016,897,,897,
France,Central African Rep.,2016,2312,,2312,
France,Chad,2016,1315,,1315,
France,Chile,2016,68,,68,
France,China,2016,3989,,3989,
France,Colombia,2016,472,,472,
France,Comoros,2016,552,,552,
France,Congo,2016,3251,,3251,
France,Côte d'Ivoire,2016,2886,,2886,
France,Croatia,2016,63,,63,
France,Cuba,2016,160,,160,
France,Czechia,2016,28,,28,
France,Dem. Rep. of the Congo,2016,15037,,15037,
France,Djibouti,2016,194,,194,
France,Dominica,2016,2,,2,
France,Dominican Rep.,2016,41,,41,
France,Ecuador,2016,27,,27,
France,Egypt,2016,842,,842,
France,El Salvador,2016,29,,29,
France,Equatorial Guinea,2016,29,,29,
France,Eritrea,2016,3063,,3063,
France,Estonia,2016,8,,8,
France,Ethiopia,2016,795,,795,
France,Gabon,2016,47,,47,
France,Gambia,2016,210,,210,
France,Georgia,2016,3011,,3011,
France,Germany,2016,7,,7,
France,Ghana,2016,518,,518,
France,Greece,2016,2,,2,
France,Guatemala,2016,17,,17,
France,Guinea,2016,6823,,6823,
France,Guinea-Bissau,2016,903,,903,
France,Guyana,2016,16,,16,
France,Haiti,2016,3444,,3444,
France,Honduras,2016,3,,3,
France,Hungary,2016,66,,66,
France,India,2016,200,,200,
France,Indonesia,2016,5,,5,
France,Iraq,2016,6043,,6043,
France,Islamic Rep. of Iran,2016,2480,,2480,
France,Israel,2016,5,,5,
France,Jamaica,2016,14,,14,
France,Jordan,2016,23,,23,
France,Kazakhstan,2016,531,,531,
France,Kenya,2016,96,,96,
France,Kuwait,2016,41,,41,
France,Kyrgyzstan,2016,295,,295,
France,Lao People's Dem. Rep.,2016,6841,,6841,
France,Latvia,2016,38,,38,
France,Lebanon,2016,134,,134,
France,Liberia,2016,229,,229,
France,Libya,2016,322,,322,
France,Lithuania,2016,12,,12,
France,Madagascar,2016,220,,220,
France,Malawi,2016,1,,1,
France,Malaysia,2016,7,,7,
France,Maldives,2016,1,,1,
France,Mali,2016,4222,,4222,
France,Mauritania,2016,5183,,5183,
France,Mauritius,2016,10,,10,
France,Mexico,2016,21,,21,
France,Mongolia,2016,409,,409,
France,Montenegro,2016,87,,87,
France,Morocco,2016,352,,352,
France,Mozambique,2016,9,,9,
France,Myanmar,2016,324,,324,
France,Namibia,2016,1,,1,
France,Nepal,2016,128,,128,
France,Nicaragua,2016,2,,2,
France,Niger,2016,53,,53,
France,Nigeria,2016,1653,,1653,
France,Pakistan,2016,1137,,1137,
France,Paraguay,2016,6,,6,
France,Peru,2016,288,,288,
France,Philippines,2016,2,,2,
France,Poland,2016,143,,143,
France,Qatar,2016,1,,1,
France,Rep. of Moldova,2016,343,,343,
France,Romania,2016,157,,157,
France,Russian Federation,2016,15232,,15232,
France,Rwanda,2016,2808,,2808,
France,Saint Lucia,2016,1,,1,
France,Sao Tome and Principe,2016,3,,3,
France,Saudi Arabia,2016,8,,8,
France,Senegal,2016,939,,939,
France,Serbia,2016,13154,,13154,
France,Seychelles,2016,2,,2,
France,Sierra Leone,2016,511,,511,
France,Slovakia,2016,115,,115,
France,Somalia,2016,2524,,2524,
France,South Africa,2016,30,,30,
France,South Sudan,2016,8,,8,
France,Spain,2016,1,,1,
France,Sri Lanka,2016,24326,,24326,
France,State of Palestine,2016,705,,705,
France,Sudan,2016,7049,,7049,
France,Suriname,2016,2,,2,
France,Syrian Arab Rep.,2016,8991,,8991,
France,Tajikistan,2016,43,,43,
France,Thailand,2016,6,,6,
France,The former Yugoslav Rep. of Macedonia,2016,335,,335,
France,Togo,2016,697,,697,
France,Tunisia,2016,272,,272,
France,Turkey,2016,10615,,10615,
France,Turkmenistan,2016,15,,15,
France,Uganda,2016,109,,109,
France,Ukraine,2016,1382,,1382,
France,United Rep. of Tanzania,2016,5,,5,
France,United States,2016,2,,2,
France,Uruguay,2016,1,,1,
France,Uzbekistan,2016,220,,220,
France,Various,2016,77661,,77661,
France,Venezuela (Bolivarian Republic of),2016,48,,48,
France,Viet Nam,2016,8008,,8008,
France,Western Sahara,2016,420,,420,
France,Yemen,2016,143,,143,
France,Zambia,2016,1,,1,
France,Zimbabwe,2016,37,,37,
Gabon,Angola,2016,3,3,3,3
Gabon,Burundi,2016,8,8,8,8
Gabon,Cameroon,2016,3,3,3,3
Gabon,Central African Rep.,2016,28,28,28,28
Gabon,Chad,2016,645,645,645,645
Gabon,Congo,2016,87,87,87,87
Gabon,Côte d'Ivoire,2016,2,2,2,2
Gabon,Dem. Rep. of the Congo,2016,48,48,48,48
Gabon,Equatorial Guinea,2016,3,3,3,3
Gabon,Ethiopia,2016,1,1,1,1
Gabon,Ghana,2016,1,1,1,1
Gabon,Liberia,2016,2,2,2,2
Gabon,Mauritania,2016,8,8,8,8
Gabon,Niger,2016,1,1,1,1
Gabon,Rwanda,2016,31,31,31,31
Gabon,Sao Tome and Principe,2016,26,26,26,26
Gabon,Sierra Leone,2016,10,10,10,10
Gabon,Somalia,2016,3,3,3,3
Gabon,Sudan,2016,2,2,2,2
Gabon,Syrian Arab Rep.,2016,2,2,2,2
Gabon,Togo,2016,15,15,15,15
Gabon,United Rep. of Tanzania,2016,2,2,2,2
Gambia,Congo,2016,9,9,9,9
Gambia,Côte d'Ivoire,2016,192,192,192,192
Gambia,Dem. Rep. of the Congo,2016,41,41,41,41
Gambia,Guinea-Bissau,2016,12,12,12,12
Gambia,Liberia,2016,68,68,68,68
Gambia,Rwanda,2016,1,1,1,1
Gambia,Senegal,2016,7470,7470,7470,7470
Gambia,Sierra Leone,2016,120,120,120,120
Gambia,Somalia,2016,2,2,2,2
Gambia,Sudan,2016,1,1,1,1
Gambia,Togo,2016,24,24,24,24
Georgia,Afghanistan,2016,3,,3,
Georgia,Azerbaijan,2016,2,,2,
Georgia,Egypt,2016,8,,8,
Georgia,Iraq,2016,669,205,669,205
Georgia,Islamic Rep. of Iran,2016,18,6,18,6
Georgia,Jordan,2016,1,,1,
Georgia,Kazakhstan,2016,1,,1,
Georgia,Lebanon,2016,6,5,6,5
Georgia,Nigeria,2016,1,1,1,1
Georgia,Pakistan,2016,7,2,7,2
Georgia,Russian Federation,2016,265,75,265,75
Georgia,Sri Lanka,2016,1,,1,
Georgia,Sudan,2016,1,,1,
Georgia,Syrian Arab Rep.,2016,84,31,425,309
Georgia,Tajikistan,2016,3,,3,
Georgia,Turkey,2016,1,,1,
Georgia,Ukraine,2016,431,170,702,337
Georgia,Uzbekistan,2016,7,1,7,1
Georgia,Various,2016,3,,3,
Georgia,Yemen,2016,1,,1,
Germany,Afghanistan,2016,46292,,46292,
Germany,Albania,2016,699,,699,
Germany,Algeria,2016,397,,397,
Germany,Angola,2016,748,,748,
Germany,Argentina,2016,13,,13,
Germany,Armenia,2016,1336,,1336,
Germany,Australia,2016,4,,4,
Germany,Austria,2016,2,,2,
Germany,Azerbaijan,2016,2312,,2312,
Germany,Bahamas,2016,1,,1,
Germany,Bahrain,2016,58,,58,
Germany,Bangladesh,2016,284,,284,
Germany,Barbados,2016,1,,1,
Germany,Belarus,2016,152,,152,
Germany,Belgium,2016,5,,5,
Germany,Benin,2016,34,,34,
Germany,Bhutan,2016,23,,23,
Germany,Bolivia (Plurinational State of),2016,8,,8,
Germany,Bosnia and Herzegovina,2016,1450,,1450,
Germany,Botswana,2016,1,,1,
Germany,Brazil,2016,29,,29,
Germany,Bulgaria,2016,85,,85,
Germany,Burkina Faso,2016,41,,41,
Germany,Burundi,2016,69,,69,
Germany,Cabo Verde,2016,3,,3,
Germany,Cambodia,2016,26,,26,
Germany,Cameroon,2016,503,,503,
Germany,Canada,2016,23,,23,
Germany,Central African Rep.,2016,6,,6,
Germany,Chad,2016,46,,46,
Germany,Chile,2016,180,,180,
Germany,China,2016,1385,,1385,
Germany,Colombia,2016,65,,65,
Germany,Comoros,2016,1,,1,
Germany,Congo,2016,173,,173,
Germany,Côte d'Ivoire,2016,182,,182,
Germany,Croatia,2016,327,,327,
Germany,Cuba,2016,95,,95,
Germany,Czechia,2016,811,,811,
Germany,Dem. People's Rep. of Korea,2016,95,,95,
Germany,Dem. Rep. of the Congo,2016,1452,,1452,
Germany,Djibouti,2016,3,,3,
Germany,Dominica,2016,1,,1,
Germany,Dominican Rep.,2016,7,,7,
Germany,Ecuador,2016,13,,13,
Germany,Egypt,2016,1079,,1079,
Germany,El Salvador,2016,7,,7,
Germany,Equatorial Guinea,2016,16,,16,
Germany,Eritrea,2016,30020,,30020,
Germany,Estonia,2016,2,,2,
Germany,Ethiopia,2016,2823,,2823,
Germany,France,2016,14,,14,
Germany,Gabon,2016,4,,4,
Germany,Gambia,2016,227,,227,
Germany,Georgia,2016,394,,394,
Germany,Ghana,2016,285,,285,
Germany,Greece,2016,45,,45,
Germany,Guatemala,2016,2,,2,
Germany,Guinea,2016,756,,756,
Germany,Guinea-Bissau,2016,33,,33,
Germany,Haiti,2016,16,,16,
Germany,Honduras,2016,32,,32,
Germany,Hungary,2016,269,,269,
Germany,India,2016,266,,266,
Germany,Indonesia,2016,14,,14,
Germany,Iraq,2016,86045,,86045,
Germany,Ireland,2016,1,,1,
Germany,Islamic Rep. of Iran,2016,22910,,22910,
Germany,Israel,2016,26,,26,
Germany,Italy,2016,14,,14,
Germany,Jamaica,2016,7,,7,
Germany,Japan,2016,37,,37,
Germany,Jordan,2016,182,,182,
Germany,Kazakhstan,2016,91,,91,
Germany,Kenya,2016,170,,170,
Germany,Kuwait,2016,14,,14,
Germany,Kyrgyzstan,2016,119,,119,
Germany,Lao People's Dem. Rep.,2016,48,,48,
Germany,Latvia,2016,9,,9,
Germany,Lebanon,2016,804,,804,
Germany,Liberia,2016,60,,60,
Germany,Libya,2016,686,,686,
Germany,Lithuania,2016,5,,5,
Germany,Luxembourg,2016,2,,2,
Germany,Madagascar,2016,2,,2,
Germany,Malawi,2016,4,,4,
Germany,Malaysia,2016,7,,7,
Germany,Mali,2016,78,,78,
Germany,Mauritania,2016,17,,17,
Germany,Mauritius,2016,3,,3,
Germany,Mexico,2016,16,,16,
Germany,Mongolia,2016,46,,46,
Germany,Montenegro,2016,254,,254,
Germany,Morocco,2016,298,,298,
Germany,Mozambique,2016,12,,12,
Germany,Myanmar,2016,677,,677,
Germany,Namibia,2016,1,,1,
Germany,Nepal,2016,42,,42,
Germany,Netherlands,2016,14,,14,
Germany,New Zealand,2016,8,,8,
Germany,Nicaragua,2016,2,,2,
Germany,Niger,2016,43,,43,
Germany,Nigeria,2016,1121,,1121,
Germany,Norway,2016,2,,2,
Germany,Oman,2016,4,,4,
Germany,Pakistan,2016,5169,,5169,
Germany,Paraguay,2016,2,,2,
Germany,Peru,2016,39,,39,
Germany,Philippines,2016,25,,25,
Germany,Poland,2016,691,,691,
Germany,Portugal,2016,4,,4,
Germany,Qatar,2016,2,,2,
Germany,Rep. of Korea,2016,56,,56,
Germany,Rep. of Moldova,2016,52,,52,
Germany,Romania,2016,166,,166,
Germany,Russian Federation,2016,5255,,5255,
Germany,Rwanda,2016,197,,197,
Germany,Saint Vincent and the Grenadines,2016,3,,3,
Germany,Saudi Arabia,2016,62,,62,
Germany,Senegal,2016,54,,54,
Germany,Serbia,2016,9189,,9189,
Germany,Seychelles,2016,1,,1,
Germany,Sierra Leone,2016,338,,338,
Germany,Singapore,2016,5,,5,
Germany,Slovakia,2016,87,,87,
Germany,Slovenia,2016,7,,7,
Germany,Solomon Islands,2016,3,,3,
Germany,Somalia,2016,7879,,7879,
Germany,South Africa,2016,18,,18,
Germany,South Sudan,2016,21,,21,
Germany,Spain,2016,13,,13,
Germany,Sri Lanka,2016,3829,,3829,
Germany,Stateless,2016,6479,,6479,
Germany,Sudan,2016,693,,693,
Germany,Swaziland,2016,4,,4,
Germany,Sweden,2016,4,,4,
Germany,Switzerland,2016,1,,1,
Germany,Syrian Arab Rep.,2016,375122,,375122,
Germany,Tajikistan,2016,148,,148,
Germany,Thailand,2016,29,,29,
Germany,The former Yugoslav Rep. of Macedonia,2016,498,,498,
Germany,Timor-Leste,2016,1,,1,
Germany,Togo,2016,1118,,1118,
Germany,Tonga,2016,1,,1,
Germany,Tunisia,2016,106,,106,
Germany,Turkey,2016,19136,,19136,
Germany,Turkmenistan,2016,34,,34,
Germany,Uganda,2016,115,,115,
Germany,Ukraine,2016,355,,355,
Germany,United Arab Emirates,2016,10,,10,
Germany,United Kingdom,2016,13,,13,
Germany,United Rep. of Tanzania,2016,10,,10,
Germany,United States,2016,145,,145,
Germany,Uruguay,2016,2,,2,
Germany,Uzbekistan,2016,80,,80,
Germany,Various,2016,20910,,20910,
Germany,Venezuela (Bolivarian Republic of),2016,16,,16,
Germany,Viet Nam,2016,1311,,1311,
Germany,Yemen,2016,291,,291,
Germany,Zambia,2016,5,,5,
Germany,Zimbabwe,2016,52,,52,
Ghana,Benin,2016,3,3,3,3
Ghana,Burkina Faso,2016,1,1,1,1
Ghana,Burundi,2016,10,10,10,10
Ghana,Cameroon,2016,5,5,5,5
Ghana,Central African Rep.,2016,109,109,109,109
Ghana,Chad,2016,14,14,14,14
Ghana,Congo,2016,5,5,5,5
